,student_id,gender,age,city,area_type,university_name,department,program_level,semester,attendance_percentage,study_hours_per_day,previous_semester_gpa,current_cgpa,assignments_score,midterm_marks,final_exam_marks,sleep_hours,social_media_hours,part_time_job,internet_access_home,family_support,tuition_or_academy,hostel_resident,distance_from_university_km,transport_mode,electricity_availability_home,final_grade,pass_fail_status,risk_level,performance_score
13,1014,Female,20,Charsadda,Rural,Sarhad University of Science and Information Technology,Electrical Engineering,Undergraduate,4,68,3,2.3,2.5,58,52,55,8,5,Yes,Yes,Yes,No,No,20,Public Transport,Load Shedding,D,Pass,High Risk,54.7
14,1015,Male,21,Nowshera,Urban,Sarhad University of Science and Information Technology,Civil Engineering,Undergraduate,5,85,6,3.2,3.4,78,74,77,6,2,No,Yes,Yes,Yes,Yes,0,Walk,Regular,B,Pass,Low Risk,76.3
15,1016,Female,19,Peshawar,Urban,Sarhad University of Science and Information Technology,English,Undergraduate,2,88,5,3.3,3.4,82,78,81,6,3,No,Yes, yes ,Yes,No,6,University Bus,Regular,B,Pass,Low Risk,80.3
16,1017,Male,20,Lahore,Urban,Sarhad University of Science and Information Technology,Mathematics,Undergraduate,3,91,6,3.6,3.7,87,83,86,6,2,No,Yes,Yes,No,Yes,0,Walk,Regular,A,Pass,Low Risk,85.3
17,1018,Female,22,Karachi,Urban,Sarhad University of Science and Information Technology,BSCS,Undergraduate,6,55,2,1.6,1.8,42,38,40,9,7,Yes,Yes,No,No,No,10,Public Transport,Regular,F,Fail,High Risk,39.8
18,1019,Male,19,Peshawar,Rural,Sarhad University of Science and Information Technology,BSSE,Undergraduate,1,78,4,1.6,1.8,70,65,68,7,4,No,Yes,Yes,No,Yes,0,Walk,Load Shedding,C,Pass,Medium Risk,67.5
19,1020,Female,21,Mardan,Urban,Sarhad University of Science and Information Technology,BBA,Undergraduate,4,84,5,3.1,3.3,76,72,75,6,3,No,Yes,Yes,Yes,No,8,University Bus,Regular,B,Pass,Low Risk,74.3
20,1021,Male,23,Swat,Rural,Sarhad University of Science and Information Technology,MBA,Graduate,2,89,6,3.4,3.6,84,80,83,6,2,No,Yes,Yes,Yes,Yes,0,Walk,Load Shedding,B,Pass,Low Risk,82.3
21,1022,Female,20,Peshawar,Urban,Sarhad University of Science and Information Technology,Electrical Engineering,Undergraduate,3,82,5,3.0,3.2,74,70,73,7,3,No,Yes,Yes,No,No,5,Private Transport,Regular,B,Pass,Low Risk,72.3
22,1023,Male,19,Charsadda,Rural,Sarhad University of Science and Information Technology,Civil Engineering,Undergraduate,2,62,2,2.0,2.2,50,45,48,8,6,Yes,No,Yes,No,No,25,Public Transport,Load Shedding,D,Pass,High Risk,47.5
23,1024,Female,22,Nowshera,Urban,Sarhad University of Science and Information Technology,English,Undergraduate,5,90,6,3.5,3.7,86,82,85,6,2,No,Yes,Yes,Yes,Yes,0,Walk,Regular,A,Pass,Low Risk,84.3
24,1025,Male,21,Peshawar,Urban,Sarhad University of Science and Information Technology,Mathematics,Undergraduate,4,87,5,3.3,3.5,80,76,79,6,3,No,Yes, Yes,No,No,4,University Bus,Regular,B,Pass,Low Risk,78.3
25,1026,Female,20,Lahore,Urban,Sarhad University of Science and Information Technology,BSCS,Undergraduate,3,75,4,2.8,3.0,68,63,66,7,4,No,Yes,Yes,Yes,Yes,0,Walk,Regular,C,Pass,Medium Risk,65.5
26,1027,Male,24,Karachi,Urban,Sarhad University of Science and Information Technology,BSSE,Undergraduate,7,93,7,3.7,3.8,90,86,89,5,1,No,Yes,Yes,No,Yes,0,Walk,Regular,A,Pass,Low Risk,88.3
27,1028,Female,19,Peshawar,Rural,Sarhad University of Science and Information Technology,BBA,Undergraduate,1,70,3,3.7,3.8,62,58,60,7,5,No,Yes,Yes,No,Yes,0,Walk,Load Shedding,C,Pass,Medium Risk,59.8
28,1029,Male,22,Mardan,Urban,Sarhad University of Science and Information Technology,MBA,Graduate,3,88,6,3.4,3.6,83,79,82,6,2,No,Yes,Yes,Yes,No,7,Private Transport,Regular,B,Pass,Low Risk,81.3
29,1030,Female,21,Swat,Rural,Sarhad University of Science and Information Technology,Electrical Engineering,Undergraduate,4,65,3,2.2,2.4,56,50,53,8,5,Yes,Yes,Yes,No,No,19,Public Transport,Load Shedding,D,Pass,High Risk,52.7
30,1031,Male,20,Peshawar,Urban,Sarhad University of Science and Information Technology,Civil Engineering,Undergraduate,3,83,5,3.1,3.3,76,71,74,6,3,No,Yes,Yes,Yes,No,6,University Bus,Regular,B,Pass,Low Risk,73.5
31,1032,Female,19,Charsadda,Rural,Sarhad University of Science and Information Technology,English,Undergraduate,2,77,4,2.7,2.9,66,61,64,7,4,No,No,Yes,No,Yes,0,Walk,Load Shedding,C,Pass,Medium Risk,63.5
32,1033,Male,23,Nowshera,Urban,Sarhad University of Science and Information Technology,Mathematics,Undergraduate,6,91,6,3.6,3.7,88,84,87,6,2,No,Yes,Yes,Yes,Yes,0,Walk,Regular,A,Pass,Low Risk,86.3
33,1034,Female,20,Peshawar,Urban,Sarhad University of Science and Information Technology,BSCS,Undergraduate,3,58,2,1.9,2.1,47,42,45,8,6,Yes,Yes,No,No,No,11,Public Transport,Regular,F,Fail,High Risk,44.5
34,1035,Male,21,Lahore,Urban,Sarhad University of Science and Information Technology,BSSE,Undergraduate,5,86,5,3.2,3.4,79,75,78,6,3,No,Yes,Yes,No,Yes,0,Walk,Regular,B,Pass,Low Risk,77.3
35,1036,Female,22,Karachi,Urban,Sarhad University of Science and Information Technology,BBA,Undergraduate,6,89,6,3.4,3.6,84,80,83,6,2, No,Yes,Yes,Yes,Yes,0,Walk,Regular,B,Pass,Low Risk,82.3
36,1037,Male,19,Peshawar,Rural,Sarhad University of Science and Information Technology,MBA,Graduate,1,74,4,3.4,3.6,67,62,65,7,4,No,Yes,Yes,No,Yes,0,Walk,Load Shedding,C,Pass,Medium Risk,64.5
37,1038,Female,20,Mardan,Urban,Sarhad University of Science and Information Technology,Electrical Engineering,Undergraduate,3,81,5,3.0,3.2,73,69,72,6,3,No,Yes,YES,Yes,No,8,University Bus,Regular,B,Pass,Low Risk,71.3
38,1039,Male,24,Swat,Rural,Sarhad University of Science and Information Technology,Civil Engineering,Undergraduate,7,60,2,1.8,2.0,48,43,46,9,6,Yes,No,Yes,No,No,23,Public Transport,Load Shedding,F,Fail,High Risk,45.5
39,1040,Female,21,Peshawar,Urban,Sarhad University of Science and Information Technology,English,Undergraduate,4,87,5,3.3,3.5,81,77,80,6,3,No,Yes,Yes,Yes,No,5,Private Transport,Regular,B,Pass,Low Risk,79.3
40,1041,Male,20,Charsadda,Rural,Sarhad University of Science and Information Technology,Mathematics,Undergraduate,3,68,3,2.3,2.5,59,54,57,8,5,Yes,Yes,Yes,No,No,21,Public Transport,Load Shedding,D,Pass,High Risk,56.5
41,1042,Female,19,Nowshera,Urban,Sarhad University of Science and Information Technology,BSCS,Undergraduate,2,79,4,2.9,3.1,71,66,69,7,4,No,Yes,Yes,Yes,Yes,0,Walk,Regular,C,Pass,Medium Risk,68.5
42,1043,Male,22,Peshawar,Urban,Sarhad University of Science and Information Technology,BSSE,Undergraduate,5,92,6,3.6,3.7,89,85,88,6,2,No,Yes,Yes,No,No,4,University Bus,Regular,A,Pass,Low Risk,87.3
43,1044,Female,21,Lahore,Urban,Sarhad University of Science and Information Technology,BBA,Undergraduate,4,85,5,3.2,3.4,78,74,77,6,3,No,Yes, yes ,Yes,Yes,0,Walk,Regular,B,Pass,Low Risk,76.3
44,1045,Male,23,Karachi,Urban,Sarhad University of Science and Information Technology,MBA,Graduate,3,90,6,3.5,3.7,86,82,85,6,2,No,Yes,Yes,No,Yes,0,Walk,Regular,A,Pass,Low Risk,84.3
45,1046,Female,20,Peshawar,Rural,Sarhad University of Science and Information Technology,Electrical Engineering,Undergraduate,3,72,4,2.6,2.8,64,59,62,7,4,No,Yes,Yes,No,Yes,0,Walk,Load Shedding,C,Pass,Medium Risk,61.5
46,1047,Male,19,Mardan,Urban,Sarhad University of Science and Information Technology,Civil Engineering,Undergraduate,2,83,5,3.0,3.2,75,70,73,6,3,No,Yes,Yes,Yes,No,7,University Bus,Regular,B,Pass,Low Risk,72.5
47,1048,Female,22,Swat,Rural,Sarhad University of Science and Information Technology,English,Undergraduate,5,55,2,1.7,1.9,44,39,42,9,7,Yes,No,No,No,No,18,Public Transport,Load Shedding,F,Fail,High Risk,41.5
48,1049,Male,21,Peshawar,Urban,Sarhad University of Science and Information Technology,Mathematics,Undergraduate,4,88,5,3.4,3.6,82,78,81,6,3,No,Yes,Yes,Yes,No,5,Private Transport,Regular,B,Pass,Low Risk,80.3
49,1050,Female,20,Charsadda,Rural,Sarhad University of Science and Information Technology,BSCS,Undergraduate,3,66,3,2.2,2.4,57,52,55,8,5,Yes,Yes,Yes,No,No,22,Public Transport,Load Shedding,D,Pass,High Risk,54.5
50,1051,Male,19,Nowshera,Urban,Sarhad University of Science and Information Technology,BSSE,Undergraduate,1,76,4,2.2,2.4,69,64,67,7,4,No,Yes,Yes,No,Yes,0,Walk,Regular,C,Pass,Medium Risk,66.5
51,1052,Female,24,Peshawar,Urban,Sarhad University of Science and Information Technology,BBA,Undergraduate,7,94,7,3.8,3.9,91,87,90,5,1,No,Yes,Yes,Yes,Yes,0,Walk,Regular,A,Pass,Low Risk,89.3
52,1053,Male,21,Lahore,Urban,Sarhad University of Science and Information Technology,MBA,Graduate,2,86,5,3.2,3.4,79,75,78,6,3,No,Yes, Yes ,No,Yes,0,Walk,Regular,B,Pass,Low Risk,77.3
53,1054,Female,20,Karachi,Urban,Sarhad University of Science and Information Technology,Electrical Engineering,Undergraduate,3,80,5,3.0,3.2,73,69,72,7,3,No,Yes,Yes,Yes,No,8,University Bus,Regular,B,Pass,Low Risk,71.3
54,1055,Male,22,Peshawar,Rural,Sarhad University of Science and Information Technology,Civil Engineering,Undergraduate,5,63,2,2.0,2.2,52,47,50,8,6,Yes,No,Yes,No,Yes,0,Walk,Load Shedding,D,Pass,High Risk,49.5
55,1056,Female,19,Mardan,Urban,Sarhad University of Science and Information Technology,English,Undergraduate,2,78,4,2.8,3.0,70,65,68,7,4,No,Yes,Yes,Yes,No,6,University Bus,Regular,C,Pass,Medium Risk,67.5
56,1057,Male,23,Swat,Rural,Sarhad University of Science and Information Technology,Mathematics,Undergraduate,6,90,6,3.5,3.7,87,83,86,6,2,No,Yes,Yes,No,Yes,0,Walk,Load Shedding,A,Pass,Low Risk,85.3
57,1058,Female,20,Peshawar,Urban,Sarhad University of Science and Information Technology,BSCS,Undergraduate,3,84,5,3.1,3.3,77,73,76,6,3,No,Yes,Yes,Yes,No,4,Private Transport,Regular,B,Pass,Low Risk,75.3
58,1059,Male,21,Charsadda,Rural,Sarhad University of Science and Information Technology,BSSE,Undergraduate,4,57,2,1.8,2.0,46,41,44,9,6, yes ,Yes,No,No,No,24,Public Transport,Load Shedding,F,Fail,High Risk,43.5
59,1060,Female,22,Nowshera,Urban,Sarhad University of Science and Information Technology,BBA,Undergraduate,5,89,6,3.4,3.6,84,80,83,6,2,No,Yes,Yes,Yes,Yes,0,Walk,Regular,B,Pass,Low Risk,82.3
60,1061,Male,20,Peshawar,Urban,Sarhad University of Science and Information Technology,MBA,Graduate,2,91,6,3.6,3.7,88,84,87,6,2,No,Yes,Yes,No,No,5,University Bus,Regular,A,Pass,Low Risk,86.3
61,1062,Female,19,Lahore,Urban,Sarhad University of Science and Information Technology,Electrical Engineering,Undergraduate,1,73,4,3.6,3.7,66,61,64,7,4,No,Yes, YES,Yes,Yes,0,Walk,Regular,C,Pass,Medium Risk,63.5
62,1063,Male,24,Karachi,Urban,Sarhad University of Science and Information Technology,Civil Engineering,Undergraduate,7,87,5,3.3,3.5,81,77,80,6,3,No,Yes,Yes,No,Yes,0,Walk,Regular,B,Pass,Low Risk,79.3
63,1064,Female,21,Peshawar,Rural,Sarhad University of Science and Information Technology,English,Undergraduate,4,70,3,2.5,2.7,62,57,60,7,5,No,Yes,Yes,No,Yes,0,Walk,Load Shedding,C,Pass,Medium Risk,59.5
64,1065,Male,20,Mardan,Urban,Sarhad University of Science and Information Technology,Mathematics,Undergraduate,3,82,5,3.0,3.2,75,71,74,6,3,No,Yes,Yes,Yes,No,7,University Bus,Regular,B,Pass,Low Risk,73.3
65,1066,Female,22,Swat,Rural,Sarhad University of Science and Information Technology,BSCS,Undergraduate,6,61,2,1.9,2.1,50,45,48,8,6,Yes,No,Yes,No,No,20,Public Transport,Load Shedding,D,Pass,High Risk,47.5
66,1067,Male,19,Peshawar,Urban,Sarhad University of Science and Information Technology,BSSE,Undergraduate,2,80,5,2.9,3.1,72,68,71,7,3,No,Yes,Yes,Yes,No,6,Private Transport,Regular,B,Pass,Low Risk,70.3
67,1068,Female,21,Charsadda,Rural,Sarhad University of Science and Information Technology,BBA,Undergraduate,4,88,5,3.3,3.5,82,78,81,6,3,No,Yes,Yes,No,No,19,Public Transport,Load Shedding,B,Pass,Low Risk,80.3
68,1069,Male,23,Nowshera,Urban,Sarhad University of Science and Information Technology,MBA,Graduate,3,93,7,3.7,3.8,90,86,89,5,1,No,Yes,Yes,Yes,Yes,0,Walk,Regular,A,Pass,Low Risk,88.3
69,1070,Female,20,Peshawar,Urban,Sarhad University of Science and Information Technology,Electrical Engineering,Undergraduate,3,76,4,2.7,2.9,68,63,66,7,4,No,Yes, yes ,No,No,5,University Bus,Regular,C,Pass,Medium Risk,65.5
70,1071,Male,19,Lahore,Urban,Sarhad University of Science and Information Technology,Civil Engineering,Undergraduate,1,79,4,2.7,2.9,71,66,69,7,4,No,Yes,Yes,Yes,Yes,0,Walk,Regular,C,Pass,Medium Risk,68.5
71,1072,Female,22,Karachi,Urban,Sarhad University of Science and Information Technology,English,Undergraduate,5,92,6,3.6,3.7,89,85,88,6,2,No,Yes,Yes,No,Yes,0,Walk,Regular,A,Pass,Low Risk,87.3
72,1073,Male,21,Peshawar,Rural,Sarhad University of Science and Information Technology,Mathematics,Undergraduate,4,64,3,2.1,2.3,55,50,53,8,5,Yes,Yes,Yes,No,Yes,0,Walk,Load Shedding,D,Pass,High Risk,52.5
73,1074,Female,20,Mardan,Urban,Sarhad University of Science and Information Technology,BSCS,Undergraduate,3,85,5,3.2,3.4,78,74,77,6,3,No,Yes,Yes,Yes,No,8,University Bus,Regular,B,Pass,Low Risk,76.3
74,1075,Male,24,Swat,Rural,Sarhad University of Science and Information Technology,BSSE,Undergraduate,7,56,2,1.7,1.9,45,40,43,9,7,Yes,No,No,No,No,21,Public Transport,Load Shedding,F,Fail,High Risk,42.5
75,1076,Female,19,Peshawar,Urban,Sarhad University of Science and Information Technology,BBA,Undergraduate,2,77,4,2.8,3.0,69,64,67,7,4,No,Yes,Yes,Yes,No,6,Private Transport,Regular,C,Pass,Medium Risk,66.5
76,1077,Male,21,Charsadda,Rural,Sarhad University of Science and Information Technology,MBA,Graduate,2,89,6,3.4,3.6,84,80,83,6,2,No,Yes,Yes,No,No,23,Public Transport,Load Shedding,B,Pass,Low Risk,82.3
77,1078,Female,22,Nowshera,Urban,Sarhad University of Science and Information Technology,Electrical Engineering,Undergraduate,5,83,5,3.1,3.3,76,72,75,6,3,No,Yes,YES,Yes,Yes,0,Walk,Regular,B,Pass,Low Risk,74.3
78,1079,Male,20,Peshawar,Urban,Sarhad University of Science and Information Technology,Civil Engineering,Undergraduate,3,90,6,3.5,3.7,86,82,85,6,2,No,Yes,Yes,No,No,4,University Bus,Regular,A,Pass,Low Risk,84.3
79,1080,Female,19,Lahore,Urban,Sarhad University of Science and Information Technology,English,Undergraduate,1,72,4,3.5,3.7,65,60,63,7,4,No,Yes,Yes,Yes,Yes,0,Walk,Regular,C,Pass,Medium Risk,62.5
80,1081,Male,23,Karachi,Urban,Sarhad University of Science and Information Technology,Mathematics,Undergraduate,6,88,5,3.4,3.6,82,78,81,6,3,No,Yes, Yes,No,Yes,0,Walk,Regular,B,Pass,Low Risk,80.3
81,1082,Female,21,Peshawar,Rural,Sarhad University of Science and Information Technology,BSCS,Undergraduate,4,67,3,2.3,2.5,58,53,56,8,5,Yes,Yes,Yes,No,Yes,0,Walk,Load Shedding,D,Pass,High Risk,55.5
82,1083,Male,20,Mardan,Urban,Sarhad University of Science and Information Technology,BSSE,Undergraduate,3,81,5,3.0,3.2,74,70,73,6,3,No,Yes,Yes,Yes,No,7,University Bus,Regular,B,Pass,Low Risk,72.3
83,1084,Female,22,Swat,Rural,Sarhad University of Science and Information Technology,BBA,Undergraduate,5,54,2,1.6,1.8,43,38,41,9,7,Yes,No,No,No,No,19,Public Transport,Load Shedding,F,Fail,High Risk,40.5
84,1085,Male,19,Peshawar,Urban,Sarhad University of Science and Information Technology,MBA,Graduate,1,75,4,1.6,1.8,68,63,66,7,4,No,Yes,Yes,No,Yes,0,Walk,Regular,C,Pass,Medium Risk,65.5
85,1086,Female,24,Charsadda,Rural,Sarhad University of Science and Information Technology,Electrical Engineering,Undergraduate,7,91,6,3.6,3.7,88,84,87,6,2,No,Yes,Yes,Yes,No,20,Public Transport,Load Shedding,A,Pass,Low Risk,86.3
86,1087,Male,21,Nowshera,Urban,Sarhad University of Science and Information Technology,Civil Engineering,Undergraduate,4,86,5,3.2,3.4,79,75,78,6,3,No,Yes,Yes,No,Yes,0,Walk,Regular,B,Pass,Low Risk,77.3
87,1088,Female,20,Peshawar,Urban,Sarhad University of Science and Information Technology,English,Undergraduate,3,84,5,3.1,3.3,77,73,76,6,3,No,Yes, yes ,Yes,No,5,Private Transport,Regular,B,Pass,Low Risk,75.3
88,1089,Male,22,Lahore,Urban,Sarhad University of Science and Information Technology,Mathematics,Undergraduate,5,92,6,3.6,3.7,89,85,88,6,2,No,Yes,Yes,No,Yes,0,Walk,Regular,A,Pass,Low Risk,87.3
89,1090,Female,19,Karachi,Urban,Sarhad University of Science and Information Technology,BSCS,Undergraduate,2,78,4,2.8,3.0,70,65,68,7,4,No,Yes,Yes,Yes,Yes,0,Walk,Regular,C,Pass,Medium Risk,67.5
90,1091,Male,21,Peshawar,Rural,Sarhad University of Science and Information Technology,BSSE,Undergraduate,4,62,2,2.0,2.2,51,46,49,8,6,Yes,No,Yes,No,Yes,0,Walk,Load Shedding,D,Pass,High Risk,48.5
91,1092,Female,23,Mardan,Urban,Sarhad University of Science and Information Technology,BBA,Undergraduate,6,87,5,3.3,3.5,81,77,80,6,3,No,Yes,Yes,Yes,No,8,University Bus,Regular,B,Pass,Low Risk,79.3
92,1093,Male,20,Swat,Rural,Sarhad University of Science and Information Technology,MBA,Graduate,2,59,2,1.8,2.0,47,42,45,9,6, No,Yes,No,No,No,22,Public Transport,Load Shedding,F,Fail,High Risk,44.5
93,1094,Female,19,Peshawar,Urban,Sarhad University of Science and Information Technology,Electrical Engineering,Undergraduate,1,74,4,1.8,2.0,67,62,65,7,4,No,Yes,Yes,No,No,6,University Bus,Regular,C,Pass,Medium Risk,64.5
94,1095,Male,24,Charsadda,Rural,Sarhad University of Science and Information Technology,Civil Engineering,Undergraduate,7,89,6,3.4,3.6,84,80,83,6,2,No,Yes,Yes,Yes,Yes,0,Walk,Load Shedding,B,Pass,Low Risk,82.3
95,1096,Female,21,Nowshera,Urban,Sarhad University of Science and Information Technology,English,Undergraduate,4,82,5,3.0,3.2,75,71,74,6,3,No,Yes,YES,No,Yes,0,Walk,Regular,B,Pass,Low Risk,73.3
96,1097,Male,20,Peshawar,Urban,Sarhad University of Science and Information Technology,Mathematics,Undergraduate,3,88,5,3.4,3.6,82,78,81,6,3,No,Yes,Yes,Yes,No,4,Private Transport,Regular,B,Pass,Low Risk,80.3
97,1098,Female,22,Lahore,Urban,Sarhad University of Science and Information Technology,BSCS,Undergraduate,5,93,7,3.7,3.8,90,86,89,5,1,No,Yes,Yes,No,Yes,0,Walk,Regular,A,Pass,Low Risk,88.3
98,1099,Male,19,Karachi,Urban,Sarhad University of Science and Information Technology,BSSE,Undergraduate,2,76,4,2.7,2.9,68,63,66,7,4,No,Yes, Yes ,Yes,Yes,0,Walk,Regular,C,Pass,Medium Risk,65.5
99,1100,Female,21,Peshawar,Rural,Sarhad University of Science and Information Technology,BBA,Undergraduate,4,69,3,2.4,2.6,60,55,58,8,5,No,Yes,Yes,No,Yes,0,Walk,Load Shedding,C,Pass,Medium Risk,57.5
100,1101,Male,23,Mardan,Urban,Sarhad University of Science and Information Technology,MBA,Graduate,3,90,6,3.5,3.7,86,82,85,6,2,No,Yes,Yes,Yes,No,7,University Bus,Regular,A,Pass,Low Risk,84.3
101,1102,Female,20,Swat,Rural,Sarhad University of Science and Information Technology,Electrical Engineering,Undergraduate,3,65,3,2.2,2.4,56,51,54,8,5,Yes,Yes,Yes,No,No,18,Public Transport,Load Shedding,D,Pass,High Risk,53.5
102,1103,Male,19,Peshawar,Urban,Sarhad University of Science and Information Technology,Civil Engineering,Undergraduate,1,80,5,2.2,2.4,72,68,71,7,3,No,Yes,Yes,Yes,No,5,University Bus,Regular,B,Pass,Low Risk,70.3
103,1104,Female,22,Charsadda,Rural,Sarhad University of Science and Information Technology,English,Undergraduate,5,55,2,1.7,1.9,44,39,42,9,7,Yes,No,No,No,No,21,Public Transport,Load Shedding,F,Fail,High Risk,41.5
104,1105,Male,21,Nowshera,Urban,Sarhad University of Science and Information Technology,Mathematics,Undergraduate,4,85,5,3.2,3.4,78,74,77,6,3,No,Yes,Yes,No,Yes,0,Walk,Regular,B,Pass,Low Risk,76.3
105,1106,Female,20,Peshawar,Urban,Sarhad University of Science and Information Technology,BSCS,Undergraduate,3,83,5,3.1,3.3,76,72,75,6,3,No,Yes, yes ,Yes,No,4,Private Transport,Regular,B,Pass,Low Risk,74.3
106,1107,Male,24,Lahore,Urban,Sarhad University of Science and Information Technology,BSSE,Undergraduate,7,91,6,3.6,3.7,88,84,87,6,2,No,Yes,Yes,No,Yes,0,Walk,Regular,A,Pass,Low Risk,86.3
107,1108,Female,19,Karachi,Urban,Sarhad University of Science and Information Technology,BBA,Undergraduate,2,77,4,2.8,3.0,69,64,67,7,4,No,Yes,Yes,Yes,Yes,0,Walk,Regular,C,Pass,Medium Risk,66.5
108,1109,Male,21,Peshawar,Rural,Sarhad University of Science and Information Technology,MBA,Graduate,2,61,2,1.9,2.1,50,45,48,8,6,Yes,No,Yes,No,Yes,0,Walk,Load Shedding,D,Pass,High Risk,47.5
109,1110,Female,22,Mardan,Urban,Sarhad University of Science and Information Technology,Electrical Engineering,Undergraduate,5,87,5,3.3,3.5,81,77,80,6,3,No,Yes,Yes,Yes,No,8,University Bus,Regular,B,Pass,Low Risk,79.3
110,1111,Male,20,Swat,Rural,Sarhad University of Science and Information Technology,Civil Engineering,Undergraduate,3,58,2,1.8,2.0,46,41,44,9,6, yes ,Yes,No,No,No,20,Public Transport,Load Shedding,F,Fail,High Risk,43.5
111,1112,Female,19,Peshawar,Urban,Sarhad University of Science and Information Technology,English,Undergraduate,1,73,4,1.8,2.0,66,61,64,7,4,No,Yes,Yes,No,No,6,University Bus,Regular,C,Pass,Medium Risk,63.5
112,1113,Male,23,Charsadda,Rural,Sarhad University of Science and Information Technology,Mathematics,Undergraduate,6,89,6,3.4,3.6,84,80,83,6,2,No,Yes,Yes,Yes,Yes,0,Walk,Load Shedding,B,Pass,Low Risk,82.3
113,1114,Female,21,Nowshera,Urban,Sarhad University of Science and Information Technology,BSCS,Undergraduate,4,84,5,3.1,3.3,77,73,76,6,3,No,Yes,YES,No,Yes,0,Walk,Regular,B,Pass,Low Risk,75.3
114,1115,Male,20,Peshawar,Urban,Sarhad University of Science and Information Technology,BSSE,Undergraduate,3,90,6,3.5,3.7,86,82,85,6,2,No,Yes,Yes,Yes,No,5,Private Transport,Regular,A,Pass,Low Risk,84.3
115,1116,Female,22,Lahore,Urban,Sarhad University of Science and Information Technology,BBA,Undergraduate,5,86,5,3.2,3.4,79,75,78,6,3,No,Yes, Yes ,No,Yes,0,Walk,Regular,B,Pass,Low Risk,77.3
116,1117,Male,19,Karachi,Urban,Sarhad University of Science and Information Technology,MBA,Graduate,1,75,4,3.2,3.4,68,63,66,7,4,No,Yes,Yes,Yes,Yes,0,Walk,Regular,C,Pass,Medium Risk,65.5
117,1118,Female,21,Peshawar,Rural,Sarhad University of Science and Information Technology,Electrical Engineering,Undergraduate,4,68,3,2.3,2.5,59,54,57,8,5,Yes,Yes,Yes,No,Yes,0,Walk,Load Shedding,D,Pass,High Risk,56.5
